version	package	cbo	aff	eff	lcom	mf	cs
1.6.0	org.apache.tools.ant.types.selectors	6	6	20	0.9021505376344086	0.5814696485623003	-305
1.6.0	org.apache.tools.ant.types.selectors.modifiedselector	3	5	8	0.8444444444444444	0.6222222222222222	-23
1.6.0	org.apache.tools.ant.util	5	89	14	0.9768270944741533	0.23423423423423423	-519
1.6.0	org.apache.tools.ant.util.facade	1	4	2	0.5	0.2	1
1.6.0	org.apache.tools.ant.util.regexp	1	7	2	0.75	0.3225806451612903	0
1.6.0	org.apache.tools.bzip2	0	4	0	0.7	0.8181818181818182	-1
1.6.0	org.apache.tools.mail	0	2	0	0.75	0.75	0
1.6.0	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.6.0	org.apache.tools.zip	0	6	0	0.8	0.8148148148148148	-13
1.6.1	org.apache.tools.ant	8	277	31	0.9301948051948052	0.32799389778794813	-1186
1.6.1	org.apache.tools.ant.filters	5	2	13	0.9242424242424242	0.6910569105691057	-421
1.6.1	org.apache.tools.ant.filters.util	4	5	12	1.0	0.0	-1
1.6.1	org.apache.tools.ant.helper	2	3	14	0.8125	0.5828571428571429	-64
1.6.1	org.apache.tools.ant.input	2	4	2	0.65	0.5384615384615384	4
1.6.1	org.apache.tools.ant.listener	4	0	10	1.0	0.0	-1
1.6.1	org.apache.tools.ant.loader	3	1	5	NaN	0.0	0
1.6.1	org.apache.tools.ant.taskdefs	16	28	112	0.9913012652705061	0.4164490861618799	-17868
1.6.1	org.apache.tools.ant.taskdefs.compilers	4	1	15	0.8363636363636363	0.34285714285714286	-19
1.6.1	org.apache.tools.ant.taskdefs.condition	4	16	8	0.8571428571428571	0.5660377358490566	-51
1.6.1	org.apache.tools.ant.taskdefs.cvslib	4	0	12	0.8727272727272727	0.5714285714285714	-27
1.6.1	org.apache.tools.ant.taskdefs.email	4	2	10	0.6904761904761905	0.5531914893617021	3
1.6.1	org.apache.tools.ant.taskdefs.rmic	4	1	13	0.7619047619047619	0.32786885245901637	-3
1.6.1	org.apache.tools.ant.types	8	149	67	0.9542815674891146	0.35795454545454547	-1168
1.6.1	org.apache.tools.ant.types.resolver	2	0	3	-0.0	0.5714285714285714	1
